,Unnamed: 0,id,sq_mt_built,n_rooms,n_bathrooms,rent_price,buy_price,buy_price_by_area,title,subtitle,raw_address,street_name,floor,is_floor_under,neighborhood_id,house_type_id,is_new_development,has_lift,is_exterior,energy_certificate,is_exact_address_hidden,is_renewal_needed
0,0.0,21742.0,64.0,2.0,1.0,471.0,85000.0,1328.0,"Piso en venta en calle de Godella, 64","San Cristóbal, Madrid","Calle de Godella, 64",Calle de Godella,3.0,False,,,False,False,True,D,False,False
1,1.0,21741.0,70.0,3.0,1.0,666.0,129900.0,1856.0,Piso en venta en calle de la del Manojo de Rosas,"Los Ángeles, Madrid",Calle de la del Manojo de Rosas,Calle de la del Manojo de Rosas,4.0,False,,,False,True,True,en trámite,True,True
2,2.0,21740.0,94.0,2.0,2.0,722.0,144247.0,1535.0,"Piso en venta en calle del Talco, 68","San Andrés, Madrid","Calle del Talco, 68",Calle del Talco,1.0,False,,,False,True,True,no indicado,False,False
3,3.0,21739.0,64.0,2.0,1.0,583.0,109900.0,1717.0,Piso en venta en calle Pedro Jiménez,"San Andrés, Madrid",Calle Pedro Jiménez,Calle Pedro Jiménez,,True,,,False,True,True,en trámite,True,False
4,4.0,21738.0,108.0,2.0,2.0,1094.0,260000.0,2407.0,Piso en venta en carretera de Villaverde a Vallecas,"Los Rosales, Madrid",Carretera de Villaverde a Vallecas,Carretera de Villaverde a Vallecas,4.0,False,,,False,True,True,en trámite,True,False
5,5.0,21737.0,126.0,4.0,2.0,901.0,195000.0,1548.0,Piso en venta en geologia,"San Andrés, Madrid",geologia,geologia,3.0,False,,,False,False,True,en trámite,True,False
6,6.0,21736.0,120.0,5.0,2.0,884.0,190000.0,1583.0,Piso en venta en avenida Real de Pinto,"San Andrés, Madrid",Avenida Real de Pinto,Avenida Real de Pinto,1.0,False,,,False,False,True,F,True,False
7,7.0,21735.0,125.0,3.0,2.0,912.0,198500.0,1588.0,Piso en venta en San Andrés,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,2.0,False,,,False,False,True,no indicado,True,False
8,8.0,21734.0,84.0,3.0,2.0,954.0,212000.0,2524.0,Piso en venta en Butarque,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,1.0,False,,,False,True,True,F,True,False
9,9.0,21733.0,85.0,2.0,1.0,672.0,131400.0,1546.0,Piso en venta en calle de Martinez Oviol,"Los Rosales, Madrid",Calle de Martinez Oviol,Calle de Martinez Oviol,7.0,False,,,False,False,True,en trámite,True,True
10,10.0,21732.0,69.0,2.0,2.0,617.0,118000.0,1710.0,Piso en venta en De la Plata - Villaverde,"San Andrés, Madrid",De la Plata - Villaverde,De la Plata - Villaverde,2.0,False,,,False,False,True,en trámite,True,True
11,11.0,21731.0,122.0,3.0,2.0,1058.0,246900.0,2024.0,Piso en venta en Butarque,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,6.0,False,,,False,True,True,E,True,False
12,12.0,21730.0,123.0,3.0,2.0,901.0,195000.0,1585.0,"Piso en venta en calle de la Unanimidad, 67","Los Rosales, Madrid","Calle de la Unanimidad, 67",Calle de la Unanimidad,4.0,False,,,False,True,True,D,False,False
13,13.0,21729.0,109.0,3.0,2.0,933.0,205000.0,1881.0,"Piso en venta en calle de Anoeta, 63","Los Ángeles, Madrid","Calle de Anoeta, 63",Calle de Anoeta,3.0,False,,,False,True,True,E,False,False
14,14.0,21728.0,64.0,3.0,1.0,408.0,72000.0,1125.0,Piso en venta en calle GODELLA,"San Cristóbal, Madrid",Calle GODELLA,Calle GODELLA,3.0,False,,,False,False,True,F,True,False
15,15.0,21727.0,115.0,3.0,1.0,780.0,160000.0,1391.0,Piso en venta en calle San Macario,"Los Rosales, Madrid",Calle San Macario,Calle San Macario,3.0,False,,,False,True,True,en trámite,True,False
16,16.0,21726.0,115.0,3.0,1.0,867.0,184900.0,1608.0,Piso en venta en Los Rosales,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,1.0,False,,,False,False,True,en trámite,True,False
17,17.0,21725.0,65.0,3.0,1.0,494.0,90000.0,1385.0,Piso en venta en Los Ángeles,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,4.0,False,,,False,False,True,en trámite,True,False
18,18.0,21724.0,75.0,3.0,1.0,666.0,129900.0,1732.0,Piso en venta en San Andrés,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,3.0,False,,,False,True,True,en trámite,True,True
19,19.0,21723.0,60.0,2.0,1.0,516.0,94900.0,1582.0,Piso en venta en San Cristóbal,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,,True,,,False,False,True,en trámite,True,False
20,20.0,21722.0,60.0,2.0,1.0,493.0,89900.0,1498.0,Piso en venta en San Andrés,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,2.0,False,,,False,False,True,en trámite,True,False
21,21.0,21721.0,95.0,4.0,2.0,724.0,144900.0,1525.0,Piso en venta en Los Ángeles,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,4.0,False,,,False,False,True,en trámite,True,False
22,22.0,21720.0,76.0,3.0,1.0,583.0,110000.0,1447.0,Piso en venta en San Andrés,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,2.0,False,,,False,False,True,en trámite,True,True
23,23.0,21719.0,51.0,2.0,1.0,508.0,93000.0,1824.0,Piso en venta en camino Leganés,"San Andrés, Madrid",Camino Leganés,Camino Leganés,,True,,,False,True,True,en trámite,True,False
24,24.0,21718.0,134.0,3.0,2.0,666.0,130000.0,970.0,Piso en venta en calle de las Islas,"San Andrés, Madrid",Calle de las Islas,Calle de las Islas,2.0,False,,,False,True,True,en trámite,True,False
25,25.0,21717.0,62.0,2.0,1.0,557.0,104000.0,1677.0,Piso en venta en calle de Parvillas Bajas,"San Andrés, Madrid",Calle de Parvillas Bajas,Calle de Parvillas Bajas,2.0,False,,,False,True,True,en trámite,True,False
26,26.0,21716.0,75.0,3.0,1.0,698.0,138000.0,1840.0,Piso en venta en COBALTO s/n,"San Andrés, Madrid",COBALTO s/n,Paseo de la Castellana,3.0,False,,,False,False,True,inmueble exento,False,False
27,27.0,21715.0,112.0,4.0,2.0,1148.0,280000.0,2500.0,Piso en venta en Butarque,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,2.0,False,,,False,True,True,B,True,False
28,28.0,21714.0,65.0,3.0,1.0,744.0,150000.0,2308.0,Piso en venta en calle Villajoyosa,"Los Rosales, Madrid",Calle Villajoyosa,Calle Villajoyosa,1.0,False,,,False,True,True,en trámite,True,True
29,29.0,21713.0,70.0,2.0,1.0,728.0,145900.0,2084.0,Piso en venta en paseo de Alberto Palacios,"San Andrés, Madrid",Paseo de Alberto Palacios,Paseo de Alberto Palacios,3.0,False,,,False,False,True,E,True,False
30,30.0,21712.0,75.0,1.0,1.0,505.0,92500.0,1233.0,Piso en venta en calle Laguna del Marquesado,"San Andrés, Madrid",Calle Laguna del Marquesado,Calle Laguna del Marquesado,1.0,False,,,False,True,True,en trámite,True,False
31,31.0,21711.0,123.0,3.0,2.0,1195.0,298000.0,2423.0,Piso en venta en carretera de Villaverde a Vallecas,"Los Rosales, Madrid",Carretera de Villaverde a Vallecas,Carretera de Villaverde a Vallecas,7.0,False,,,False,True,True,en trámite,True,False
32,32.0,21710.0,61.0,3.0,1.0,539.0,99900.0,1638.0,Piso en venta en camino Leganés,"San Andrés, Madrid",Camino Leganés,Camino Leganés,2.0,False,,,False,True,True,en trámite,True,False
33,33.0,21709.0,72.0,2.0,1.0,698.0,138000.0,1917.0,Piso en venta en San Andrés,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,3.0,False,,,False,False,True,en trámite,True,False
34,34.0,21708.0,61.0,3.0,1.0,539.0,100000.0,1639.0,"Piso en venta en Concepción de la Oliva, 21","Butarque, Madrid","Concepción de la Oliva, 21",Concepción de la Oliva,5.0,False,,,False,False,True,en trámite,False,False
35,35.0,21707.0,71.0,3.0,1.0,672.0,131400.0,1851.0,Piso en venta en San Neviano - Villaverde,"San Andrés, Madrid",San Neviano - Villaverde,San Neviano - Villaverde,1.0,False,,,False,False,True,en trámite,True,True
36,36.0,21706.0,87.0,3.0,1.0,521.0,96000.0,1103.0,Piso en venta en Los Rosales,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,2.0,False,,,False,False,True,E,True,True
37,37.0,21705.0,60.0,2.0,1.0,758.0,154000.0,2567.0,Piso en venta en paseo de Alberto Palacios,"San Andrés, Madrid",Paseo de Alberto Palacios,Paseo de Alberto Palacios,1.0,False,,,False,False,True,A,True,False
38,38.0,21704.0,78.0,4.0,1.0,731.0,146700.0,1881.0,Piso en venta en calle la Dolorosa,"Los Ángeles, Madrid",Calle la Dolorosa,Calle la Dolorosa,2.0,False,,,False,True,True,G,True,False
39,39.0,21703.0,52.0,1.0,1.0,505.0,92500.0,1779.0,Piso en venta en calle Encarnación Oviol,"Los Rosales, Madrid",Calle Encarnación Oviol,Calle Encarnación Oviol,1.0,False,,,False,False,True,G,True,False
40,40.0,21702.0,125.0,3.0,3.0,1135.0,275000.0,2200.0,Dúplex en venta en calle ESTEFANITA,"Butarque, Madrid",Calle ESTEFANITA,Calle ESTEFANITA,7.0,False,,,False,True,True,D,True,False
41,41.0,21701.0,75.0,0.0,1.0,465.0,83800.0,1117.0,Estudio en venta en calle Laguna del Marquesado,"San Andrés, Madrid",Calle Laguna del Marquesado,Calle Laguna del Marquesado,1.0,False,,,False,True,True,en trámite,True,False
42,42.0,21700.0,97.0,2.0,2.0,1111.0,266122.0,2744.0,"Piso en venta en calle Arroyo de la Bulera, 31","Butarque, Madrid","Calle Arroyo de la Bulera, 31",Calle Arroyo de la Bulera,,True,,,True,True,True,no indicado,False,False
43,43.0,21699.0,93.0,2.0,2.0,1004.0,228273.0,2455.0,"Piso en venta en calle Arroyo de la Bulera, 31","Butarque, Madrid","Calle Arroyo de la Bulera, 31",Calle Arroyo de la Bulera,7.0,False,,,True,True,True,no indicado,False,False
44,44.0,21698.0,103.0,4.0,2.0,823.0,171900.0,1669.0,Piso en venta en calle de la del Manojo de Rosas,"Los Ángeles, Madrid",Calle de la del Manojo de Rosas,Calle de la del Manojo de Rosas,1.0,False,,,False,True,True,en trámite,True,False
45,45.0,21697.0,83.0,2.0,2.0,1004.0,228273.0,2750.0,Ático en venta en Villaverde a perales,"Butarque, Madrid",Villaverde a perales,Villaverde a perales,7.0,False,,,False,True,True,en trámite,True,False
46,46.0,21696.0,45.0,2.0,1.0,471.0,85000.0,1889.0,Piso en venta en calle de Juan José Martínez Seco,"Los Rosales, Madrid",Calle de Juan José Martínez Seco,Calle de Juan José Martínez Seco,1.0,False,,,False,False,True,E,True,True
47,47.0,21695.0,120.0,3.0,2.0,1195.0,298000.0,2483.0,Piso en venta en carretera de Villaverde a Vallecas,"Los Rosales, Madrid",Carretera de Villaverde a Vallecas,Carretera de Villaverde a Vallecas,7.0,False,,,False,True,True,en trámite,True,False
